AAB	Abelag Aviation	ABG
AMC	Air Malta Plc. - Malta	Air Malta
AMD	SA Red Cross Air Mercy Service - South Africa	Mercy Wing
AME	Aeronave Militar Espanola. Ministerio de Defensa - Spain	Airmil
AMF	Ameriflight, Inc. (Burbank, CA)	Amflight
AMG	Air Minas Linhas Aereas Ltda. - Brazil	Air Minas
AMI	?	Airmek
AMJ	Amjet Executive S.A. - Greece	Amjet Exec
AMK	Amerer Air GesmbH - Austria	Amer Air
AML	Air Malawi - Malawi	Malawi
AMM	Aeroportul International Marculesti - Republic of Moldova	Aerom
AMN	Air Montenegro - Montenegro	Montenegro
AMP	Aero Transporte S.A. (ATSA) - Peru	Atsa
AMQ	?	Amex
AMR	Air Specialties Corporation D/B/A/ Air  America/Total Air (Los Angeles, CA)	Air Am
AMU	Air Macau - Macao, China	Air Macau
AMX	Aerovias de Mexico, S.A. de C.V. - Mexico	Aeromexico
AMY	Air Mandalay Limited - Myanmar	Air Mandalay
AMZ	Amiyi Airline Limited - Nigeria	Amiyi Air
ANA	All Nippon Airways Co., Ltd. - Japan	All Nippon
ANB	Air Navigation and Trading Co. Ltd.	Air Nav
AND	?	Servi Andes
ANE	Air Nostrum Lineas Aereas del Mediterraneo, S.A. - Spain	Nostru Air
ANG	Air Niugini - Papua New Guinea	Niugini
ANH	Alajnihah for Air Transport - Libyan Arab Jamahiriya	Alajnihah
ANI	Air Atlantic (Nig) Limited - Nigeria	Nigalantic
ANJ	Allegiance Air (Pty) Ltd - South Africa	Air Allegiance
ANL	Nacoia Lda - Angola	Air Nacoia
ANM	?	Noram
ANO	Capiteq Limited, Trading As Air North Regional - Australia	Topend
ANP	?	Nicon Fliers
ANQ	Aerolinea de Antioquia S.A. (ADA) - Colombia	Antioquia
ANR	Yanair, Aviacompany Ltd	Yanair
ANS	Andes Lineas Aereas, S.A. - Argentina	Aeroandes
ANT	Air North Charter - Canada	Air North
ANU	Andalus - Spain	Andalus
ANW	?	Angel Wings
ANX	Secretaria de Marina - Mexico	Secretaria Demarina
ANZ	Air New Zealand Ltd - New Zealand	New Zealand
AOA	Alcon Servicios Aereos, S.A. de C.V. - Mexico	Alcon
AOB	Aerocaribe Coro, C.A. - Venezuela	Caribe Coro
AOC	?	Aramis
AOD	Aero Vodochody - Czech Republic	Aero Czech
AOF	Atair Pty Ltd - South Africa	Atair
AOJ	Avcon Jet AG	Asterix
AOM	Andromeda Taxi Aereo, S.A. de R.L. - Mexico	Androda
AON	Aero Entreprise - France	Aero Entreprise
AOO	AS, Opened Joint Stock Company - Ukraine	Company AS
AOR	Afro International Ent. Limited - Nigeria	Inter-Afro
AOS	Aeros Ltd (T/A Aeros Flight Training)	Aeros
AOT	Asia Overnight Express Corporation - Philippines	Asia Overnight
AOU	Air Tractor D.O.O. - Croatia	Air Tractor
AOV	Aero Vision - France	Aerovision
APA	Apoyo Logistico Aereo, S.A de C.V. - Mexico	Apoyo Log
APC	Airpac (Seattle, WA)	Airpac
APE	Parcel Express (Denver, CO) - United States	Air Parcel
APF	Amapola Flyg Ab	Amapola
APG	?	Cool Red
APH	Alpha Aviation, Inc. (Dallas, TX)	Airflight
API	Asa Pesada, Lda. - Angola	Asa Pesada
APJ	Peach Aviation Limited	Air Peach
APK	?	Peace Bird
APL	?	Aereo Principal
APM	?	Red Finn
APN	Air Phoenix Co., Ltd - Thailand	Thai Air Phoenix
APO	Aeropro - Canada	Aeropro
APP	Aerolineas Pacifico Atlantico, S.A. (Apair) - Panama	Aeroperlas
APR	Aerolineas Primordiales, S.A. de C.V. - Mexico	Primordiales
APS	Aeroparadise, S.A. de C.V. - Mexico	Aeroparadise
APT	Aviation Training-1 International - Philippines	Pilot Training
APU	?	Apuka
APX	?	Apex
AQA	Aeroatlas S.A. - Colombia	Atco
AQQ	?	Apsara
AQS	?	Airstream
AQT	Aviones de Renta de Quintana Roo, S.A. de C.V. - Mexico	Avioquintana
AQU	Airquarius Aviation - South Africa	Quarius
ARA	Arik Air Ltd - Nigeria	Arik Air
ARB	Avia Air - Aruba (Netherlands)	Aviair
ARD	?	Cordilleras
ARE	?	Lan Colombia
ARF	Animal Rescue Flights	Animal Flights
ARG	Aerolineas Argentinas - Argentina	Argentina
ARH	?	Aerohelca
ARI	Aero Vics, S.A. de C.V. - Mexico	Aerovics
ARK	Aero Link Air Services S.L. - Spain	Link Service
ARL	Airlec Air Espace - France	Airlec
ARM	?	Sunsky
ARN	Aeronexus Corporate Pty Ltd - South Africa	Aeronex
ARO	Acero Taxi, S.A. de C.V. - Mexico	Acero
ARP	Aero Corporate - Cote D'Ivoire	Ivorycorp
ARR	Air Armenia - Armenia	Air Armenia
ARS	Aeromet Servicios Ltda. - Chile	Metservice
ART	Smart Lynx Airlines Ltd	Smart Lynx
ARU	Aruba Airlines - Aruba (Netherlands)	Aruba
ARV	Aravco Ltd. - United Kingdom	Aravco
ARW	Airways International Limited - Jamaica	Jamaica Shuttle
ARX	Air Xpress, Inc, (Greensboro, NC)	Airex
ARY	?	Yeraz
ARZ	?	Blue Eagle
ASA	Alaska Airlines Inc.	Alaska
ASB	Air-Spray 1967 Ltd. - Canada	Air Spray
ASD	Air Sinai - Egypt	Air Sinai
ASE	?	Asertec
ASF	?	Austrian Airforce
ASH	Mesa Aviation Services, Inc. (Farmington, NM) - United States	Air Shuttle
ASI	Aerosun International, Inc.	Aerosun
ASJ	?	Astonjet
ASK	?	Multisky
ASL	?	Air Serbia
ASM	Awesome Flight Services (Pty) Ltd - South Africa	Awesome
ASN	RS Servicios de Teledeteccion - Spain	Airsensing
ASO	Aero Slovakia - Slovakia	Aero Nitra
ASP	Airsprint Inc. - Canada	Airsprint
ASQ	Atlantic Southeast Airlines (Atlanta, GA)	Acey
ASR	?	Sotravia
AST	?	Air Sarina
ASU	Compania Aerea del Sur S.A. (Aerosur S.A.) - Uruguay	Asur
ASV	?	Air Seoul
ASW	Asia Airways - Tajikistan	Asiaways
ASX	Air Special - Czech Republic	Airspec
ASY	Royal Australian Air Force	Aussie
ASZ	?	Ascencion
ATB	Airline Transport Incorporation - Burundi	Trans-Burundi
ATC	Air Tanzania - United Republic of Tanzania	Tanzania
ATE	Servicio Mexicano de Vuelos de Fletamento, S.A. de C.V. - Mexico	Amtravel
ATF	Compania Aerotecnicas Fotograficas - Spain	Aerotecnicas
ATG	?	Moldcargo
ATH	South Africa	Globestar
ATK	Aerotaxi Casanare Ltda. - Colombia	Aerotaca
ATL	Atlas Air Service AG, Ganderkesee - Germany	Air Bremen
ATM	Airlines of Tasmania - Australia	Airtas
ATN	Air Transport International (Little Rock, AR)	Air Transport
ATO	Airways Flygutbildning Ab	School Flight
ATP	Servicios Aereos del Altiplano, S.A. de C.V. - Mexico	Altiplano
ATQ	?	Colibri
ATR	?	Atrak Air
ATS	Iran (Islamic Republic of)	Air Atlas
ATT	?	Attawosol Air
ATV	Avanti Air GmbH & Co. Kg, Burbach - Germany	Avanti Air
ATX	?	Airswift
ATY	Airtraffic Limited - Kenya	Aircare
ATZ	Ace Air	Ace Taxi
AUA	Austrian Airlines (AUA) AG	Austrian
AUE	?	Air Universe
AUG	?	Geo University
AUH	Presidential Flight	Sultan
AUI	Ukraine International Airlines	Ukraine International
AUK	Auric Air Services Ltd - United Republic of Tanzania	Auric Services
AUL	?	Archangelsk Air
AUM	Air Atlantic Uruguay S.A. - Uruguay	Atlamur
AUN	?	Common Sky
AUO	"Empresa ""Aero Uruguay"", S.A. - Uruguay"	Uniform Oscar
AUR	Aurigny Air Services Ltd.	Ayline
AUT	Cielos del Sur S.A. - Austral - Argentina	Austral
AUV	Redair Luftfahrt GmbH - Austria	Austrian Ambulance
AUY	Aerolineas Uruguayas S.A. - Uruguay	Ausa
AUZ	?	Uruguayo
AVA	?	Avianca
AVB	Aviation Beauport Ltd.	Beaupair
AVC	Aviootriad Varna Ltd - Bulgaria	Airteam Varna
AVD	Alamo Aviacion S.L. - Spain	Alamo
AVE	?	Avex Air
AVF	Aves Flight Share, S.A. de C.V. - Mexico	Aves Flight
AVH	AV8 Helicopters Ltd	Kent Heli
AVJ	Avia Traffic Company - Kyrgyzstan	Atomic
AVK	AV8 Helicopters - South Africa	Aviate-Copter
AVL	Aviation Adventures (Manassas, VA)	Sky Ventures
AVM	Avemex, S.A. de C.V. - Mexico	Avemex
AVN	Air Vanuatu - Vanuatu	Air Van
AVO	Aviation At Work Pty Ltd - South Africa	Aviation Work
AVP	?	Avia Puebla
AVQ	?	Avic
AVR	?	Air Vista
AVS	Avialsa T-35, S.L. - Spain	Avialsa
AVV	?	Wing Man
AVW	?	Aviro
AVY	Aerovaradero, S.A. - Cuba	Aerovaradero
AVZ	Air Valencia, S.L. - Spain	Air Valencia
AWA	Asia Wings JSC - Kazakhstan	Asiawings
AWC	Titan Airways Ltd	Zap
AWI	Air Wisconsin Airlines Corporation (Appleton, WI)	Wisconsin
AWJ	Sahel Airlines - Niger	Sahel Airlines
AWK	Airwork Holdings Limited - New Zealand	Airwork
AWM	Asian Wings Airways Ltd - Myanmar	Asian Star
AWN	Air Niamey S.A. - Niger	Air Niamey
AWQ	?	Wagon Air
AWR	Awan Airlines - Libyan Arab Jamahiriya	Awan Air
AWT	Albania	Albawings
AWS	Arab Wings Company - Jordan	Arab Wings
AWU	?	Sylt Air
AWW	?	Awa
AWX	CAA Directorate of Airspace Policy (IFP)	Allweather
AWY	?	Red Kite
AXB	Air India Express - India	Express India
AXC	Indochina Airlines Joint Stock Company - Viet Nam	Airspup
AXD	Air Express - Sudan	Air Sudex
AXE	Airexplore, S.r.o. - Slovakia	Galileo
AXH	Aeromexhaga, S.A. de C.V. - Mexico	Aeromexhaga
AXK	African Express Airways - Kenya	Express Jet
AXL	Anguilla Air Services Ltd	Anguilla
AXM	?	Red Cap
AXP	Aeromax, S.L. - Spain	Aeromax Spain
AXQ	Action Airlines (Action Air Charter)	Action Air
AXT	AX Transporter, S.A. de C.V. - Mexico	Axtransporter
AXV	Aviaxess - France	Axavia
AXY	?	Legend
AYA	Federal Aviation Administration (FAA) Academy (Oklahoma City, OK)	Academy Air
AYD	Aladia Airlines, S.A. de C.V. - Mexico	Airlines Aladia
AYE	Yunnan Yingan Airlines Co., Ltd	Air Ying An
AYG	Yangon Airways	Air Yangon
AYL	Alpine Air Private Limited - Nepal	Alpine Nepal
AYM	Airman, S.L. - Spain	Airman
AYN	Atlantic Airlines, S.A. - Nicaragua	Atlantic Nicaragua
AYR	Flight Training Europe S.L. - Spain	Cygnet
AYT	?	Ayit
AYV	?	Cargway
AYY	Air Alliance Express AG & Co. KG, Burbach - Germany	Lupus
AZA	Alitalia - Compagnia Aerea Italiana S.p.A. - Italy	Alitalia
AZB	Zaab Air	Zaab Air
AZD	Air Zara International Ltd - United Republic of Tanzania	Purity
AZE	?	Arcus Air
AZF	Air Zermatt AG - Switzerland	Air Zermatt
AZG	?	Silk West
AZH	SW Helicopter Services - Azerbaijan	Heliaze
AZI	Astra Airlines - Greece	Greek Star
AZK	Azalhelicopter Baku Aviation Company - Azerbaijan	Azalhelicopter
AZL	Africa One (Zambia) Ltd - Zambia	Sky Africa
AZM	?	Azman Air
AZN	Amaszonas S.A. - Bolivia	Amazonas
AZP	Paraguay	Guarani
AZQ	Silk Way Airlines - Azerbaijan	Silk Line
AZR	Zenith Air Cc	Zenair
AZS	Aviacon Zitotrans - Russian Federation	Zitotrans
AZT	Azimut, S.A. - Spain	Azimut
AZU	Azul Linhas Aereas Brasileiras S/A - Brazil	Azul
AZW	Air Zimbabwe - Zimbabwe	Air Zimbabwe
AZX	Air Max Africa - Gabon	Azima
AZY	Aztec Worldwide Airlines, Inc. (Ft. Lauderdale, FL)	Aztec World
AZZ	Azza Transport Co. Ltd - Sudan	Azza Transport
BAA	Balkan Agro Aviation - Bulgaria	Balkan Agro
BAB	Bahrain Air	Bahrain Air
BAD	?	Badlands
BAE	BAe Systems (Corporate Air Travel) Ltd	Felix
BAF	Belgian Air Force	Belgian Airforce
BAH	Bahrain Royal Flight (BAH)	Bahrain
BAI	Pueblo Bonito Air, S.A. de C.V. - Mexico	Bonito Air
BAJ	Baker Aviation, Inc. (Kotzebue, AK)	Baker Aviation
BAK	Blackhawk Airways, Inc. (Janesville, WI)	Blackhawk
BAL	?	Balmoral
BAM	Manas Airways	Manas Airways
BAN	British Antarctic Survey	Penguin
BAP	Trans International Express Aviation	Big Apple
BAS	Aero Services - Barbados	Aeroserv
BAT	British Airways (BA) Ltd	Gherkin
BAV	Bay Aviation Ltd - Bangladesh	Bay Air
BAW	British Airways	Speedbird
BBA	Bombardier Inc. - Canada	Bombardier
BBB	?	Blackbird
BBC	Bangladesh Biman - Bangladesh	Bangladesh
BBD	Bluebird Cargo Ltd - Iceland	Blue Cargo
BBE	Ababeel Aviation Co. Ltd	Babel Air
BBG	Blue Bird Airways - Greece	Candia Bird
BBJ	?	Blue Korea
BBN	?	Brabazon
BBR	Santa Barbara Airlines, C.A. - Venezuela	Santa Barbara
BBS	Beibars CJSC - Kazakhstan	Beibars
BBW	?	Beebee Airways
BBX	Bel Air Aviation A/S	Bluebel
BBY	?	Yemen Blue
BBZ	Blue Bird Aviation Ltd - Kenya	Cobra
BCA	Blue Sky Aviation Co., Ltd - Mongolia	Blue Sky Mongolia
BCB	Carib Express - Barbados	Wavebird
BCC	?	Thai Biz
BCF	B.A.C.H. Flugbetriebsges.M.B.H. - Austria	Bach
BCG	?	Belgian Coastguard
BCH	Phillips Air (Del Rio, TX) - United States	Beachball
BCI	Blue Islands	Blue Island
BCJ	?	Blue Boy
BCK	Priority Aviation Company, Inc (Kansas City, MO) - United States	Bankcheck
BCN	Ocean Air	Blue Ocean
BCR	British Charter	Backer
BCS	European Air Transport - Belgium	Eurotrans
BCV	Business Aviation Center JSC - Ukraine	Business Aviation
BCY	Cityjet - Ireland	City-Ireland
BDA	Blue Dart Aviation Ltd - India	Blue Dart
BDF	Australia	Border Force
BDG	Mississippi State University, MS	Bulldog
BDI	Benair A/S	Birdie
BDJ	China	Crown Jet
BDN	Boscombe Down DERA	Gauntlet
BDR	Badr Airlines - Sudan	Badr Air
BDS	South Asian Airlines Ltd - Bangladesh	South Asian
BDV	Aberdair Aviation Limited	Aberdav
BEA	Best Aviation Ltd - Bangladesh	Best Air
BEE	Jersey European T/A Flybe	Jersey
BEF	Balear Express, S.L. - Spain	Balear Express
BEG	?	Bulgarian Eagle
BEK	Berkhut Air - Kazakhstan	Bekair
BEL	Brussels Airlines	Beeline
BEM	Business Air Ltd - Bulgaria	Business Air
BER	Air Berlin Plc & Co. Luftverkehrs Kg - Germany	Air Berlin
BET	BETA - Brazilian Express Transportes Aereos Ltda - Brazil	Beta Cargo
BEU	Bateleur Air Charter Services CC - South Africa	Bateleur
BEX	Business-Express - Magna Air Luftfahrtgesellschaft M.B.H. - Austria	Bexjet
BEY	Bestfly, S.L. - Spain	Bestfly
BEZ	Kingfisher Air Services (San Juan, PR)	Sea Breeze
BFC	Basler Flight Service, Inc. (Oshkosh, WI)	Basler
BFD	Bertelsmann AG, Guetersloh - Germany	Media Jet
BFF	?	Air Baffin
BFG	?	Bright Flight
BFL	Buffalo Airways Ltd. - Canada	Buffalo
BFM	Beijing Panam International Aviation Academy Co., Ltd - China	Fan May
BFR	Burkina Airlines - Burkina Faso	Burklines
BFT	Border Air Training	Border
BFW	VIP Air Transport - Bahrain	Summan
BFX	?	Bluefox
BFY	?	Mwango Best
BGA	Airbus Transport International (ATI) - France	Belouga
BGC	Good Jet Co., Ltd	Yandu
BGD	Air Bangladesh (Pvt) Limited - Bangladesh	Air Bangla
BGF	Aviodetachment-28 - Bulgaria	Bulgarian
BGG	Aero BG, S.A. de C.V. - Mexico	Aero BG
BGH	BH Air - Bulgaria	Balkan Holidays
BGI	British Gulf International Co. Ltd	British Gulf
BGL	Benin Golf Air SA - Benin	Benin Golf
BGM	Ak Bars Aero - Russian Federation	Bugavia
BGN	?	Skybuddy
BGR	Budget Air Bangladesh Ltd - Bangladesh	Budget Air
BGS	?	Bagat
BGT	Bergen Air Transport	Bergen Air
BGY	?	Skimmer
BHA	Buddha Air Pvt. Ltd - Nepal	Buddha Air
BHC	Aerotaxis de la Bahia, S.A. de C.V. - Mexico	Bahia
BHD	Bangkok Helicopter Services Co., Ltd - Thailand	Bangkok Dusit
